intersection_id,int_lat,int_lon,cam_lat,cam_lon,cam_heading,speed_limit,road_type,is_major_road,has_crosswalk,has_camera,has_speed_display,has_traffic_light,has_stop_sign,number_of_connecting_roads,is_lit,has_bike_lane,num_lanes,number_of_accidents
9584,39.941736999999996,-75.157252,39.941603759326895,-75.1572813944494,9.73858243929169,25,residential,0,False,False,False,False,False,4,,,1,0
9585,39.942604399999986,-75.157065,39.94247107516776,-75.15709374338626,9.522910500498199,25,residential,0,False,False,False,True,False,4,,,1,0
9585,39.942604399999986,-75.157065,39.94273812500644,-75.15703958718001,188.42285552710106,25,tertiary,0,False,False,False,True,False,4,,,1,0
9585,39.942604399999986,-75.157065,39.94258311832039,-75.15689161093063,279.16082116455874,65,secondary,1,False,False,False,True,False,4,,,1,0
9585,39.942604399999986,-75.157065,39.94262686101043,-75.15723813785826,99.66758800953738,65,secondary,1,False,False,False,True,False,4,,,1,0
9586,39.941802,-75.1577586,39.94177977913289,-75.15758541193009,279.56469065113777,25,tertiary,0,False,False,False,False,False,3,,,,0
9586,39.941802,-75.1577586,39.94193537363357,-75.1577302414931,189.39613805423227,25,residential,0,False,False,False,False,False,3,,,1,0
9586,39.941802,-75.1577586,39.94182363688846,-75.1579319128791,99.31390029372005,25,tertiary,0,False,False,False,False,False,3,,,,0
9587,39.942670099999994,-75.1575767,39.942536632121225,-75.1576043001508,9.145267523917255,25,residential,0,False,False,False,False,False,3,,,1,0
9587,39.942670099999994,-75.1575767,39.94264838178002,-75.15740340215477,279.34860794186386,65,secondary,1,False,False,False,False,False,3,,,1,0
9587,39.942670099999994,-75.1575767,39.9426912565779,-75.15775011512368,99.10755883812317,65,secondary,1,False,False,False,False,False,3,,,1,0
9588,39.9424266,-75.1592054,39.9422935259327,-75.15923604193492,10.15291082995708,25,residential,0,False,False,False,False,False,3,,,1,0
9588,39.9424266,-75.1592054,39.94255998370227,-75.15917712143609,189.37054999997662,25,residential,0,False,False,False,False,False,3,,,1,0
9588,39.9424266,-75.1592054,39.94244821753073,-75.15937871852415,99.30651806388067,25,residential,0,False,False,False,False,False,3,,,,0
9589,39.9419319,-75.1588231,39.94195377023106,-75.15899636376209,99.41481658519791,25,tertiary,0,False,False,False,True,False,4,,,,0
9589,39.9419319,-75.1588231,39.94191101931918,-75.15864963036674,278.9898383698324,25,tertiary,0,False,False,False,True,False,4,,,,0
9589,39.9419319,-75.1588231,39.94179868341872,-75.15885267817548,9.800382983394513,25,residential,0,False,False,False,True,False,4,,,1,0
9589,39.9419319,-75.1588231,39.942065262778016,-75.1587946554595,189.42525399653755,25,residential,0,False,False,False,True,False,4,,,1,0
9590,39.94256299999999,-75.1603076,39.94242941023831,-75.16033418616139,8.81213436931671,65,secondary,1,False,False,False,False,False,3,,,,0
9590,39.94256299999999,-75.1603076,39.942585241213614,-75.16048078562189,99.5751870297151,25,residential,0,False,False,False,False,False,3,,,,0
9590,39.94256299999999,-75.1603076,39.94269618534577,-75.16027778520119,189.8795545506248,65,secondary,1,False,False,False,False,False,3,,,,0
9591,39.942326300000005,-75.1619764,39.94234652877071,-75.16215000099109,98.71234719699623,25,tertiary,0,False,False,False,True,False,4,,,1,0
9591,39.942326300000005,-75.1619764,39.94230403225368,-75.16180322079313,279.5875508413773,25,tertiary,0,False,False,False,True,False,4,,,1,0
9591,39.942326300000005,-75.1619764,39.94219303526555,-75.16200560977488,9.68041348886095,65,secondary,1,False,False,False,True,False,4,,,2,0
9591,39.942326300000005,-75.1619764,39.942459382427245,-75.16194581947741,190.13431419324084,65,secondary,1,False,False,False,True,False,4,,,2,0
9592,39.9419458,-75.1620598,39.94207906475338,-75.1620305904338,189.68041348886095,65,secondary,1,False,False,False,False,False,3,,,2,0
9592,39.9419458,-75.1620598,39.941812859440475,-75.16209140469799,10.474046150034724,65,secondary,1,False,False,False,False,False,3,,,2,0
9592,39.9419458,-75.1620598,39.94196693299853,-75.16223321812531,99.10031448504287,25,residential,0,False,False,False,False,False,3,,,,0
